"ENTITY","CODE","YEAR","DEATHS_PER_100K","HIGHER_LVL_CAT","AGE_GROUP","ABS_DEATHS","TOTAL_ABS_DEATHS","DEATHS_PER_100K_BD"
"Southeast Asia",NA,1990,5.28717462701,"Regional","50-69",2682.09003147,21678.95606986,0.654121827455514
"Southeast Asia",NA,1991,5.23839194323,"Regional","Under 5",6341.66531391,21779.88263903,1.52526664342608
"Southeast Asia",NA,1991,5.23839194323,"Regional","70 or older",1449.69024414,21779.88263903,0.348672480056133
"Southeast Asia",NA,1991,5.23839194323,"Regional","5-14",2124.82429256,21779.88263903,0.511052453284542
"Southeast Asia",NA,1991,5.23839194323,"Regional","15-49",9124.8198328,21779.88263903,2.19465749599162
"Southeast Asia",NA,1991,5.23839194323,"Regional","50-69",2738.88295562,21779.88263903,0.658742870471627
"Southeast Asia",NA,1992,5.05493832063,"Regional","Under 5",5304.53184942,21035.93587592,1.27467974217062
"Southeast Asia",NA,1992,5.05493832063,"Regional","70 or older",1505.97908193,21035.93587592,0.361886983123455
"Southeast Asia",NA,1992,5.05493832063,"Regional","5-14",2130.5442763,21035.93587592,0.511970086312918
"Southeast Asia",NA,1992,5.05493832063,"Regional","15-49",9297.36996839,21035.93587592,2.2341592982363
"Southeast Asia",NA,1992,5.05493832063,"Regional","50-69",2797.51069988,21035.93587592,0.672242210786707
"Southeast Asia",NA,1993,4.92551626747,"Regional","Under 5",4710.82690149,20686.24062717,1.12167575320807
"Southeast Asia",NA,1993,4.92551626747,"Regional","70 or older",1546.6103405,20686.24062717,0.368257071396749
"Southeast Asia",NA,1993,4.92551626747,"Regional","5-14",2138.52607597,20686.24062717,0.509195709623728
"Southeast Asia",NA,1993,4.92551626747,"Regional","15-49",9449.91435865,20686.24062717,2.25008051190288
"Southeast Asia",NA,1993,4.92551626747,"Regional","50-69",2840.36295056,20686.24062717,0.676307221338569
"Southeast Asia",NA,1994,4.85570962259,"Regional","Under 5",4613.45419163,20738.18092478,1.08021016852584
"Southeast Asia",NA,1994,4.85570962259,"Regional","70 or older",1587.90743483,20738.18092478,0.371798155250593
"Southeast Asia",NA,1994,4.85570962259,"Regional","5-14",2113.80673983,20738.18092478,0.494934042870832
"Southeast Asia",NA,1994,4.85570962259,"Regional","15-49",9553.34945727,20738.18092478,2.23685438254624
"Southeast Asia",NA,1994,4.85570962259,"Regional","50-69",2869.66310122,20738.18092478,0.6719128733965
"Southeast Asia",NA,1995,4.65571613994,"Regional","Under 5",3877.88512625,20056.81861265,0.900159328345741
"Southeast Asia",NA,1995,4.65571613994,"Regional","70 or older",1616.9777256,20056.81861265,0.375343140923222
"Southeast Asia",NA,1995,4.65571613994,"Regional","5-14",2073.21348579,20056.81861265,0.481247483648578
"Southeast Asia",NA,1995,4.65571613994,"Regional","15-49",9617.9645808,20056.81861265,2.23258303308181
"Southeast Asia",NA,1995,4.65571613994,"Regional","50-69",2870.77769421,20056.81861265,0.66638315394065
"Southeast Asia",NA,1996,4.58702799961,"Regional","Under 5",3712.97784486,20079.86163,0.848189775912535
"Southeast Asia",NA,1996,4.58702799961,"Regional","70 or older",1664.5224707,20079.86163,0.380242220776743
"Southeast Asia",NA,1996,4.58702799961,"Regional","5-14",2059.54031514,20079.86163,0.470479790446284
"Southeast Asia",NA,1996,4.58702799961,"Regional","15-49",9756.49830677,20079.86163,2.22876689769807
"Southeast Asia",NA,1996,4.58702799961,"Regional","50-69",2886.32269253,20079.86163,0.65934931477637
"Southeast Asia",NA,1997,4.7063964113,"Regional","Under 5",4604.31958717,21254.48250398,1.0195380281537
